timestamp,status,predicted,predicted_proba,failure_label,target,vibration_mm_s,bearing_temp_c,discharge_temperature_c,lube_oil_pressure_bar,motor_current_amp,efficiency_pct,suction_pressure_bar,seal_gas_pressure_bar
2020-01-01 00:00:00,Normal,0,0.0,0,0,2.28,60.46,128.21,3.17,89.12,81.65,11.16,15.41
2020-01-01 03:00:00,Normal,0,0.0,0,0,2.07,62.12,131.05,3.09,91.22,82.98,11.53,15.13
2020-01-01 06:00:00,Normal,0,0.0,0,0,3.05,62.78,129.38,3.36,90.27,82.45,11.58,14.79
2020-01-01 09:00:00,Normal,0,0.0,0,0,2.4,62.11,135.35,3.12,93.71,80.81,11.24,15.29
2020-01-01 12:00:00,Normal,0,0.0,0,0,2.27,61.76,131.13,3.09,89.35,81.5,11.08,14.64
2020-01-01 15:00:00,Normal,0,0.0,0,0,2.4,58.98,124.74,3.12,88.51,80.72,10.77,15.2
2020-01-01 18:00:00,Normal,0,0.0,0,0,2.49,59.37,128.65,3.24,89.64,81.39,10.63,14.68
2020-01-01 21:00:00,Normal,0,0.0,0,0,2.53,62.38,129.49,3.21,89.95,80.46,10.87,15.09
2020-01-02 00:00:00,Normal,0,0.0,0,0,2.66,62.83,129.74,3.23,89.81,81.18,10.85,15.23
2020-01-02 03:00:00,Normal,0,0.0,0,0,2.75,62.71,129.89,3.21,92.24,81.74,11.2,14.81
2020-01-02 06:00:00,Normal,0,0.0,0,0,2.91,63.55,133.02,3.19,90.81,81.36,10.93,14.83
2020-01-02 09:00:00,Normal,0,0.0,0,0,2.55,61.15,130.01,3.39,92.73,81.65,10.77,15.02
2020-01-02 12:00:00,Normal,0,0.0,0,0,2.3,62.82,127.66,3.27,90.05,81.38,11.08,14.82
2020-01-02 15:00:00,Normal,0,0.0,0,0,2.75,63.23,127.27,2.98,89.68,83.15,11.0,14.96
2020-01-02 18:00:00,Normal,0,0.0,0,0,2.36,61.9,131.55,3.14,87.98,81.2,10.88,14.96
2020-01-02 21:00:00,Normal,0,0.0,0,0,2.47,61.86,132.61,3.26,89.4,81.09,10.73,15.24
2020-01-03 00:00:00,Normal,0,0.0,0,0,2.55,60.29,131.16,3.27,93.28,82.14,11.12,15.11
2020-01-03 03:00:00,Normal,0,0.0,0,0,2.67,63.22,131.43,3.12,89.56,81.29,10.98,15.01
2020-01-03 06:00:00,Normal,0,0.0,0,0,2.81,61.15,130.85,3.15,90.98,80.75,11.43,15.11
2020-01-03 09:00:00,Normal,0,0.0,0,0,2.12,61.04,126.17,3.19,90.35,79.74,11.0,14.73
2020-01-03 12:00:00,Normal,0,0.0,0,0,2.69,61.65,130.46,3.06,90.62,80.53,10.88,14.7
